epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8867,2.47612,11.4788,1.32619,0.00052,0.37209,0.00039,0.00018,3.17114,inf,2.33483,0.000659649,0.000659649,0.000659649
2,101.773,2.64647,5.72096,1.48791,0.40378,0.42636,0.34918,0.12557,2.58054,3.61756,1.63469,0.00130005,0.00130005,0.00130005
3,146.694,2.52988,2.71275,1.48726,0.47307,0.45736,0.38124,0.13183,2.60204,2.25658,1.67352,0.00191406,0.00191406,0.00191406
4,191.381,2.55912,2.14069,1.48314,0.4916,0.3973,0.36816,0.11794,2.74025,2.6201,1.59865,0.0018812,0.0018812,0.0018812
5,235.987,2.53576,1.89579,1.49697,0.554,0.26357,0.23019,0.07386,3.4304,255.255,2.4741,0.0018416,0.0018416,0.0018416
6,280.405,2.5594,1.91944,1.45411,0.46917,0.4031,0.34664,0.08917,2.74617,2.46809,1.78603,0.001802,0.001802,0.001802
7,326.675,2.41685,1.68082,1.40468,0.49747,0.44961,0.44593,0.15695,2.36971,2.49669,1.66315,0.0017624,0.0017624,0.0017624
8,372.244,2.38475,1.68177,1.42639,0.64856,0.37195,0.37787,0.12366,2.64563,4.52229,1.73361,0.0017228,0.0017228,0.0017228
9,416.842,2.34383,1.55832,1.37752,0.40877,0.32558,0.24186,0.08023,3.04643,27.8136,1.90334,0.0016832,0.0016832,0.0016832
10,461.15,2.31171,1.55473,1.35724,0.58909,0.47287,0.46197,0.18369,2.36654,1.70851,1.59679,0.0016436,0.0016436,0.0016436
11,506.407,2.31287,1.50126,1.37183,0.6006,0.51938,0.5158,0.17687,2.39165,2.50436,1.50497,0.001604,0.001604,0.001604
12,550.983,2.2824,1.50662,1.33681,0.45057,0.52713,0.39064,0.11612,2.72003,2.03937,1.59713,0.0015644,0.0015644,0.0015644
13,595.513,2.27558,1.44439,1.31419,0.54793,0.50739,0.50136,0.22112,2.27694,1.89573,1.47306,0.0015248,0.0015248,0.0015248
14,639.817,2.21246,1.43071,1.33271,0.67515,0.61223,0.59264,0.21706,2.25504,1.71374,1.46124,0.0014852,0.0014852,0.0014852
15,685.084,2.18651,1.42265,1.32085,0.59372,0.52713,0.54405,0.17832,2.28421,1.8541,1.51452,0.0014456,0.0014456,0.0014456
16,729.609,2.222,1.44422,1.3004,0.65146,0.57958,0.56166,0.23728,2.2213,1.79526,1.48612,0.001406,0.001406,0.001406
17,773.952,2.16006,1.39189,1.25575,0.64749,0.55039,0.56797,0.23466,2.19377,1.53961,1.43179,0.0013664,0.0013664,0.0013664
18,818.315,2.14869,1.35255,1.25999,0.69374,0.52678,0.5989,0.2386,2.20802,1.54405,1.37801,0.0013268,0.0013268,0.0013268
19,863.074,2.11794,1.31308,1.29565,0.62341,0.51938,0.55992,0.18849,2.39893,1.87497,1.47826,0.0012872,0.0012872,0.0012872
